title,price,option_suffix,sale_price,regular_price,regoptiondesc,saving,offer_valid,comparative_text,sale_option
Halloween Hanging Animated Pumpkin,$24.00,,,$6.00,Save,$6.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Plush Basket – Assorted,$6.00,,,$2.00,Save,$2.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Felt Tote Bag – Assorted,$3.00,,,$1.00,Save,$1.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Mini Plush – Assorted,$6.00,,,$2.00,Save,$2.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Trick or Treat Bowl – Assorted,$2.40,,,$0.60,Save,$0.60,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Assorted Napkins Pk 16 or Disposable Cups Pk 8,$3.00,,,NA,NA,NA,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Assorted Disposable Plates Pk 8,$4.00,,,NA,NA,NA,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Trick or Treat – Assorted,$4.00,,,NA,NA,NA,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Tabletop Lantern Assorted,$16.00,,,NA,NA,NA,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Tabletop Light Up Ghost,$12.00,,,NA,NA,NA,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Light Up Candelabra,$10.00,,,NA,NA,NA,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween LED Pillar Candle Assorted,$7.00,,,NA,NA,NA,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,From
Halloween Light Up Skeleton Dog,$18.00,,,NA,NA,NA,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Light Up House,$12.00,,,NA,NA,NA,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween 3D Pom Pom Garland Assorted,$4.80,,,$1.20,Save,$1.20,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Tinsel Cat,$10.00,,,NA,NA,NA,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Small Animal Skeleton – Assorted,$4.80,,,$1.20,Save,$1.20,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Mini Meerkat – Assorted,$5.60,,,$1.40,Save,$1.40,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Small Tabletop – Assorted,$2.40,,,$0.60,Save,$0.60,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Decor Microsafe Value Pack Pk 5,$11.50,,,$11.50,"1/2 Price, Save",$11.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Skeleton Garland,$4.00,,,$1.00,Save,$1.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Tinsel Tabletop – Assorted,$3.20,,,$0.80,Save,$0.80,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween 18 LED Lights Bat,$6.40,,,$1.60,Save,$1.60,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Light Up Spider Decoration,$12.00,,,$3.00,Save,$3.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Light Projector,$16.00,,,$4.00,Save,$4.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Solar Trick or Treat Garden Sign,$12.00,,,$3.00,Save,$3.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Tombstone RIP,$8.00,,,$2.00,Save,$2.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Costume Adult Vampire,$15.00,,,$5.00,Save,$5.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Costume Adult Witch,$15.00,,,$5.00,Save,$5.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Large Hanging Skeleton,$16.00,,,$4.00,Save,$4.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Themed Headband – Assorted,$3.75,,,$1.25,Save,$1.25,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Deluxe Mask,$6.75,,,$2.25,Save,$2.25,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Bobble Headbands,$3.00,,,$1.00,Save,$1.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Headbands – Assorted,$4.50,,,$1.50,Save,$1.50,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Costume Toddler Unicorn,$9.75,,,$3.25,Save,$3.25,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Adult Witches Hat,$4.50,,,$1.50,Save,$1.50,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Licensed Costumes,$16.00,,,NA,NA,NA,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,From
Halloween Activity & Sticker Book,$2.25,,,$0.75,Save,$0.75,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Cupcake Set Pk 12,$2.40,,,$0.60,Save,$0.60,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Bubbles Pk 6,$3.00,,,$1.00,Save,$1.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Monster Pen – Assorted,$2.25,,,$0.75,Save,$0.75,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween DIY Paint Set Pk 2,$4.50,,,$1.50,Save,$1.50,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Skeleton Pens Pk 4,$2.25,,,$0.75,Save,$0.75,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Note Pad Pk 4,$2.25,,,$0.75,Save,$0.75,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Licensed Garland Mickey,$6.00,,,NA,NA,NA,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Disney Licensed Books,$5.00,,,NA,NA,NA,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,From
Halloween Licensed Felt Bag Star Wars,$4.50,,,$1.50,Save,$1.50,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Licensed Felt Bag Mickey,$4.50,,,$1.50,Save,$1.50,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Bonds Ladies’ Cushioned Low Cut Socks Assorted Pk 3,$8.00,,,$8.00,"1/2 Price, Save",$8.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$2.67 per ea,NA
Bonds Ladies’ Hipster Boyleg Assorted Pk 2,$12.00,,,$12.00,"1/2 Price, Save",$12.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$6 per ea,NA
Bonds Men’s Socks 1/4 Crew Sports Assorted Pk 3,$8.00,,,$8.00,"1/2 Price, Save",$8.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$2.67 per ea,NA
Bonds Men’s Guy Front Trunk Pk 1,$12.50,,,$12.50,"1/2 Price, Save",$12.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$12.50 per ea,NA
Halloween Animated Dancing Dog,$20.00,,,$5.00,Save,$5.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Large LED Skull,$24.00,,,$6.00,Save,$6.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Bird in Cage,$17.60,,,$4.40,Save,$4.40,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Animated Dancing Scary Plant,$16.00,,,$4.00,Save,$4.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Animated Crystal Ball with Eye,$16.00,,,$4.00,Save,$4.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Animated Door Bell,$16.00,,,$4.00,Save,$4.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Scary Candy Bowl Pumpkin,$20.00,,,$5.00,Save,$5.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Spider Web Bowl,$2.40,,,$0.60,Save,$0.60,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Glow Finger Dress Up Accessory,$1.85,,,$0.65,Save,$0.65,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Glow Party Pack Pk 100,$9.00,,,$3.00,Save,$3.00,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Glow Mask or Necklace – Assorted,$1.85,,,$0.65,Save,$0.65,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Halloween Glow Premium Hand Held Accessories – Assorted,$1.85,,,$0.65,Save,$0.65,Offer valid Wed 25 Sep - Tue 22 Oct 2024,NA,NA
Jumbo Plush Rainbow – Assorted Designs,$18.00,,,NA,NA,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Jumbo Plush Dinosaur – Assorted Designs,$18.00,,,NA,NA,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Hanging Animated Pumpkin,$24.00,,,$6.00,Save,$6.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Animated Dancing Dog,$20.00,,,$5.00,Save,$5.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Large LED Skull,$24.00,,,$6.00,Save,$6.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Bird in Cage,$17.60,,,$4.40,Save,$4.40,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Animated Dancing Scary Plant,$16.00,,,$4.00,Save,$4.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Animated Crystal Ball with Eye,$16.00,,,$4.00,Save,$4.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Animated Doorbell,$16.00,,,$4.00,Save,$4.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Scary Candy Bowl Pumpkin,$20.00,,,$5.00,Save,$5.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Mini Meerkat – Assorted,$5.60,,,$1.40,Save,$1.40,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Small Animal Skeleton – Assorted,$4.80,,,$1.20,Save,$1.20,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Small Tabletop – Assorted,$2.40,,,$0.60,Save,$0.60,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Tinsel Tabletop– Assorted,$3.20,,,$0.80,Save,$0.80,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Skeleton Garland,$4.00,,,$1.00,Save,$1.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween 18 LED Lights Bat,$6.40,,,$1.60,Save,$1.60,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Light Up Spider Decoration,$12.00,,,$3.00,Save,$3.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Light Projector,$16.00,,,$4.00,Save,$4.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Solar Trick or Treat Garden Sign,$12.00,,,$3.00,Save,$3.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Tombstone RIP,$8.00,,,$2.00,Save,$2.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Costume Adult Vampire,$16.00,,,$4.00,Save,$4.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Costume Adult Witch,$16.00,,,$4.00,Save,$4.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Large Hanging Skeleton,$16.00,,,$4.00,Save,$4.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Themed Headband – Assorted,$4.00,,,$1.00,Save,$1.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Deluxe Mask,$7.20,,,$1.80,Save,$1.80,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Bobble Headbands,$3.20,,,$0.80,Save,$0.80,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Headbands – Assorted,$4.80,,,$1.20,Save,$1.20,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Costume Todder Unicorn,$10.40,,,$2.60,Save,$2.60,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Adult Witches Hat,$4.80,,,$1.20,Save,$1.20,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Costume Boys 8 to 10 – Assorted,$14.40,,,$3.60,"20% off, Save",$3.60,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Costume Girls 6 to 8 – Assorted,$12.80,,,$3.20,"20% off, Save",$3.20,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Costume Boys 6 to 8 – Assorted,$12.80,,,$3.20,"20% off, Save",$3.20,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Costume Girls 11 to 13 – Assorted,$14.40,,,$3.60,"20% off, Save",$3.60,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Glow Finger Dress Up Accessory,$1.85,,,$0.65,Save,$0.65,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Glow Party Pack Pk 100,$9.00,,,$3.00,Save,$3.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Glow Mask or Necklace – Assorted,$1.85,,,$0.65,Save,$0.65,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Halloween Glow Premium Hand Held Accessories – Assorted,$1.85,,,$0.65,Save,$0.65,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Viva Paper Towel Pk 2,$2.25,,,$2.25,"1/2 Price, Save",$2.25,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$1.88 per 100 sheets,NA
Comfort Fragrance Collection Fabric Conditioner 900ml,$5.00,,,$5.00,"1/2 Price, Save",$5.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,56¢ per 100ml,NA
Comfort Ultra-Care or Expert Fabric Conditioner 900ml,$5.50,,,$5.50,"1/2 Price, Save",$5.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,61¢ per 100ml,NA
Comfort In-Wash Scent Booster 200g,$7.00,,,$7.00,"1/2 Price, Save",$7.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$3.50 per 100g,NA
Comfort Laundry Detergent 2 Litre,$12.50,,,$12.50,"1/2 Price, Save",$12.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$6.25 per litre,NA
Morning Fresh Dishwashing Liquid 400ml,$2.75,,,$2.75,"1/2 Price, Save",$2.75,Offer valid Wed 16 Oct - Tue 22 Oct 2024,69¢ per 100ml,NA
Harpic Fresh Power Toilet Liquid 700ml,$3.50,,,$3.50,"1/2 Price, Save",$3.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,50¢ per 100ml,NA
Glen 20 Disinfectant Spray 375g,$5.75,,,$5.75,"1/2 Price, Save",$5.75,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$1.53 per 100g,NA
Dynamo Professional Laundry Liquid 2 Litre,$14.50,,,$14.50,"1/2 Price, Save",$14.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$7.25 per litre,NA
Vanish Gold Pro Stain Remover Powder 2 kg,$18.00,,,$18.00,"1/2 Price, Save",$18.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$9 per kg,NA
Finish Ultimate Material Care Dishwasher Tablets Pk 70,$35.00,,,$35.00,"1/2 Price, Save",$35.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,50¢ per ea,NA
Comfort x Dusk In-Wash Scent Booster 425g,$17.25,,,$17.25,"1/2 Price, Save",$17.25,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$4.06 per 100g,NA
Passage To India Paste 150g,$1.85,,,$1.85,"1/2 Price, Save",$1.85,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$1.23 per 100g,NA
Royal Feast Jasmine Rice 10 kg,$24.00,,,$24.00,"1/2 Price, Save",$24.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,24¢ per 100g,NA
Old El Paso Standard Kits 290-520g,$5.10,,,$3.40,"40% off, Save",$3.40,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Old El Paso Premium Kits 295-418g,$5.70,,,$3.80,"40% off, Save",$3.80,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Flora Spread 500g,$3.90,,,$1.35,Save,$1.35,Offer valid Wed 16 Oct - Tue 22 Oct 2024,78¢ per 100g,NA
Flora ProActiv 750g,$10.80,,,$1.20,Save,$1.20,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$1.44 per 100g,NA
Essentials Table Spread 500g – From the Fridge,$2.20,,,NA,Everyday Low Price,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,44¢ per 100g,NA
Primo Sliced Meats 80-100g – From the Fridge,$3.00,,,$0.95,Save,$0.95,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Don Cocktail or Thin Frankfurts – From the Deli,$7.90,,,$1.60,Save,$1.60,Offer valid Wed 16 Oct - Tue 22 Oct 2024,79¢ per 100g,NA
D’Orsogna Middle Bacon Rashers – From the Deli,$13.50,,,$3.50,Save,$3.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$1.35 per 100g,NA
D’Orsogna Premium Australian Ham off the Bone – Sliced or Shaved – From the Deli,$29.00,,,$7.00,Save,$7.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$2.90 per 100g,NA
Woolworths Australian Beef Mince 500g,$5.75,,,$0.75,"10% off, Save",$0.75,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$11.50 per kg,NA
Woolworths Australian Lean Beef Mince 500g,$8.00,,,$1.00,"10% off, Save",$1.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$16 per kg,NA
Woolworths Australian Extra Lean Beef Mince Heart Smart 500g,$9.00,,,$1.00,"10% off, Save",$1.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$18 per kg,NA
Woolworths Australian Lean Beef Mince 1 kg,$13.75,,,$1.75,"10% off, Save",$1.75,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$13.75 per kg,NA
Australian Fresh RSPCA Approved Chicken Drumsticks Bulk Pack,$4.00,,,$0.50,Save,$0.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Australian Pork Leg Boneless Roast,$8.00,,,$3.00,Save,$3.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Australian Fresh RSPCA Approved Diced Chicken Breast 1 kg,$14.00,,,$1.50,Save,$1.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$14 per kg,NA
Woolworths Lamb Leg Steak 540g,$14.00,,,$2.00,Save,$2.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$25.93 per kg,NA
Australian Lamb Leg Roast,$12.00,,,$3.00,Save,$3.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
NEW Woolworths Australian Angus 1/4 Pound Beef Burgers 454g Pk 4,$8.00,,,$9.00,Introductory Price,$9.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$17.62 per kg,NA
NEW Woolworths Australian Steakhouse 1/4 Pound Beef Burgers 454g Pk 4,$8.00,,,$9.00,Introductory Price,$9.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$17.62 per kg,NA
"Woolworths BBQ Beef or Lamb, Mint & Honey Kebabs 450g",$15.00,,,$2.00,Mix & Match,$2.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$16.67 per kg,Any 2 for
"Woolworths COOK Marinated Beef, Lamb & Pork Steaks 250-300g",$15.00,,,$1.00,Mix & Match,$1.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,Any 2 for
Woolworths Meatball Varieties 400g,$15.00,,,$2.00,Mix & Match,$2.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$18.75 per kg,Any 2 for
"Woolworths Plain Tenders 400g, Southern Style Burger 350g or Mini Garlic Kyiv Bites 400g with RSPCA Approved Chicken",$15.00,,,$1.00,Mix & Match,$1.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,Any 2 for
"Macro Free Range Pork Mince 500g, Pork Scotch Fillet 300g, Pork Medallion 250g, Pork Sizzle Steak 500g or Pork Stir Fry Heart Smart 400g",$15.00,,,$1.00,Mix & Match,$1.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,Any 2 for
Woolworths Lamb Souvlaki or Beef Terriyaki Strips 300g,$15.00,,,$3.00,Mix & Match,$3.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$25 per kg,Any 2 for
Woolworths Australian Pork Sizzle Steak 400g,$8.00,,,NA,NA,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$20 per kg,NA
Hamper Corned Beef 340g,$6.00,,,$8.20,Was,$8.20,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$17.65 per kg,NA
Peppercorn Extra Lean Beef Burgers or Sausages 450-500g,$8.00,,,$2.00,Save,$2.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Don Thin Frankfurts – From the Deli,$7.90,,,$1.60,Save,$1.60,Offer valid Wed 16 Oct - Tue 22 Oct 2024,79¢ per 100g,NA
Moira Mac's Shredded Chicken 420g – From the Deli,$7.00,,,$8.00,Was,$8.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$16.67 per kg,NA
Champagne Leg Ham –Sliced or Shaved – From the Deli,$20.00,,,$23.50,Was,$23.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$2 per 100g,NA
Macro Grass Fed Beef or Extra Lean Beef Burgers 500g,$9.00,,,$1.00,Save,$1.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$18 per kg,NA
Macro Grass Fed Beef or Extra Lean Beef Sausages 500g,$7.00,,,$1.00,Save,$1.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$14 per kg,NA
Woolworths Australian Extra Lean Beef Mince Heart Smart 500g,$9.00,,,$1.00,Save,$1.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$18 per kg,NA
"Mt Barker Roasted Carved Chicken Breast 220g, Mt Barker Pulled Chicken 200g or Mt Barker Peri Peri Diced Chicken Breast 250g – From the Fridge",$7.50,,,$1.00,Save,$1.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Multix Alfoil Traditional Strength 60m,$7.00,,,$7.00,"1/2 Price, Save",$7.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,12¢ per metre,NA
Viva Paper Towel Pk 2,$2.25,,,$2.25,"1/2 Price, Save",$2.25,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$1.88 per 100 sheets,NA
Breeder’s Choice Paper Cat Litter 24 Litre,$23.00,,,$7.00,Save,$7.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,96¢ per litre,NA
Total Care Cuddlechews Dog Toy,$12.60,,,$5.40,"30% off, Save",$5.40,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Whiskas Dry Cat Food 800g,$4.90,,,$2.10,Save,$2.10,Offer valid Wed 16 Oct - Tue 22 Oct 2024,61¢ per 100g,NA
Purina One Wet Cat Food Pk 12 x 70g,$11.80,,,$5.20,Save,$5.20,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$1.40 per 100g,NA
Nature’s Gift Wet Dog Food Pk 6 x 100g,$5.00,,,$3.50,Save,$3.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,83¢ per 100g,NA
Schmackos Strapz Dog Treats 500g,$11.50,,,$5.50,Save,$5.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$2.30 per 100g,NA
Bow Wow Pigs Ears Dog Treats Pk 5,$11.00,,,$5.00,Save,$5.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$2.20 per ea,NA
Nature’s Gift Dry Dog Food 6 kg,$16.80,,,$11.20,Save,$11.20,Offer valid Wed 16 Oct - Tue 22 Oct 2024,28¢ per 100g,NA
Dine Desire Wet Cat Food 85g,$1.50,,,$1.00,"40% off, Save",$1.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$1.76 per 100g,NA
Dine Wet Cat Food Pk 7 x 85g,$6.00,,,$4.00,"40% off, Save",$4.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$1.01 per 100g,NA
Dine Classic Wet Cat Food 85g,$0.95,,,$0.65,"40% off, Save",$0.65,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$1.12 per 100g,NA
Optimum Wet Dog Food 680-700g,$3.50,,,$1.50,Save,$1.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Optimum Dry Cat Food 2 kg,$17.50,,,$7.50,Save,$7.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,88¢ per 100g,NA
Optimum Dry Dog Food 7 kg,$22.50,,,$22.50,"1/2 Price, Save",$22.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,32¢ per 100g,NA
John West Salmon Tempters 95g,$1.65,,,$1.65,"1/2 Price, Save",$1.65,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$17.37 per kg,NA
Thawed Extra Large Cooked Australian Tiger Prawns^,$28.00,,,$8.00,Save,$8.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Fresh Australian Saltwater Barramundi Fillets Skin On,$24.00,,,$12.00,Save,$12.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Thawed Imported Barramundi Fillets^,$17.00,,,$2.00,Save,$2.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
I&J Fish Fillets 425g,$5.50,,,$1.50,Save,$1.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$12.94 per kg,NA
Sirena Tuna 95g,$2.30,,,$0.65,Save,$0.65,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$24.21 per kg,NA
Optus $45 SIM Starter Kit~,$17.00,,,$28.00,"Better than 1/2 Price, Save",$28.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Optus X Start 4~,$59.00,,,$20.00,Save,$20.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Optus X Tap 3~,$129.00,,,$20.00,Save,$20.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Optus X Pro 5G~,$139.00,,,$30.00,Save,$30.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Optus Oppo A58~,$199.00,,,$50.00,Save,$50.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Optus $160 SIM Starter Kit~,$99.00,,,$61.00,Save,$61.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
